 year   T_global   T_land   T_ocean   P_global   P_land   P_ocean
  1877.0   292.259333863989   289.17379378974664   293.8252712664888   3.9114545683205204e-05   2.9627903767900005e-05   4.3929095824138025e-05 
  1878.0   292.4617706103592   289.46759299845917   293.98134079884653   3.9354177185112614e-05   3.00128546844568e-05   4.4094976507312445e-05 
  1879.0   292.4191235968442   289.4305894152933   293.93582969721416   3.926525525795053e-05   3.04353104017516e-05   4.3746526147205344e-05 
  1880.0   292.2113029536601   289.1079186820849   293.7862964355977   3.895173707542013e-05   3.1008784124930695e-05   4.298285215161002e-05 
  1881.0   292.33528749053755   289.3001388636316   293.8756508119197   3.902128099471739e-05   2.9429252026213184e-05   4.3889315946857557e-05 
  1882.0   292.53295572283423   289.6471924519046   293.9975047262429   3.91627331491367e-05   2.8575436643185418e-05   4.4535874703324406e-05 
  1883.0   292.76292701492275   289.9576954821648   294.18660548744947   3.9671751215170974e-05   3.076161357853429e-05   4.419372061142177e-05 
  1884.0   292.4306773982059   289.3016399605671   294.01869007654517   3.944319740729622e-05   3.164634539102811e-05   4.340016503703187e-05 
  1885.0   292.41554049551576   289.22850858025697   294.03298585645126   3.9224488986435465e-05   3.0029451442416347e-05   4.389104746926565e-05 
  1886.0   292.6726782577659   289.8213704607176   294.11974081991167   3.956787473836114e-05   3.0197225229256743e-05   4.432355776270973e-05 
  1887.0   292.68315940166053   289.77030085292444   294.16145948524536   3.937707800446612e-05   3.0354670563603272e-05   4.395602526565428e-05 
  1888.0   292.7188819567343   289.7966241348459   294.201952250082   3.946667417857688e-05   3.063605808052432e-05   4.3948285728688275e-05 
  1889.0   292.75753649195576   289.825159042901   294.245742580755   3.94839860846343e-05   3.0229491918364585e-05   4.418071930069375e-05 
  1890.0   292.872688067971   290.0014380418933   294.32987147819375   3.958338219418757e-05   2.9994521496613817e-05   4.444980922232355e-05 
  1891.0   292.9017636097242   290.03762740032573   294.3553366984653   3.956623399785535e-05   3.1203583343035713e-05   4.381034917034613e-05 
  1892.0   292.8372342840668   289.8303047871023   294.3632761609115   3.95621639546106e-05   2.9676968746328936e-05   4.457898322617998e-05 
  1893.0   293.0278836717714   290.1514728917425   294.48768620780123   3.981837648833607e-05   2.9713993811366017e-05   4.494643523407196e-05 
  1894.0   293.05876344453543   290.1840194015601   294.517720097566   3.9867130036776665e-05   3.004922477533117e-05   4.4849799097352976e-05 
  1895.0   293.0005962132141   290.0391565218003   294.5035516331566   3.973245174921278e-05   3.0182361172122696e-05   4.4579202616837474e-05 
  1896.0   292.8765027713152   289.90236771284924   294.38590119625087   3.975443185432998e-05   3.0281883319199446e-05   4.456182948691349e-05 
  1897.0   293.02392922492936   290.0879242230542   294.51397632713446   4.0061467747047625e-05   3.1535702198902177e-05   4.438836509258355e-05 
  1898.0   293.0339372299292   290.0459101053029   294.55038599466775   3.989809135527362e-05   3.064841325741726e-05   4.459238037632021e-05 
  1899.0   293.08367593511196   290.2142896348155   294.5399134889081   3.974726308610942e-05   3.0063758004674694e-05   4.466172293088636e-05 
  1900.0   293.0520477883814   290.1019597633305   294.5492421426722   3.989056920884681e-05   3.088458639675458e-05   4.44611808335191e-05 
  1901.0   292.9678625458284   289.9372110425932   294.5059435393229   3.98632185962096e-05   2.997094226990736e-05   4.4883631594417795e-05 
  1902.0   293.0921571647858   290.1558681694801   294.5823483960329   3.978458169281188e-05   2.9911900669321282e-05   4.479504991090129e-05 
