 year   T_global   T_land   T_ocean   P_global   P_land   P_ocean
  1882.0   286.569280356943   281.7108342273627   289.0349824153444   3.55331054467805e-05   2.806542122533801e-05   3.9323017666697054e-05 
  1883.0   286.66789804958734   281.78842577213385   289.14427105394736   3.563257743239298e-05   2.7246539221670746e-05   3.988856198517368e-05 
  1884.0   286.68713041948945   281.8310988976219   289.15160704427507   3.57737097777115e-05   2.770731930503905e-05   3.9867470429135326e-05 
  1885.0   286.6839203005719   281.7480195701722   289.1889312169044   3.5703722486352686e-05   2.697993713903925e-05   4.013111653667659e-05 
  1886.0   286.8291291210374   282.08788330077283   289.2353510419181   3.5920449452644605e-05   2.7177704413806613e-05   4.0357465705041344e-05 
  1887.0   286.6536991973817   281.78502414872634   289.1245925177928   3.570596573755393e-05   2.8224157170958885e-05   3.9503046180805156e-05 
  1888.0   286.5975338065933   281.61267385563656   289.1273919369703   3.572505475852326e-05   2.776056436214701e-05   3.9767100268691306e-05 
  1889.0   286.6370132518449   281.79012110312607   289.0968515682942   3.569007721445418e-05   2.6895936738939796e-05   4.01531770809583e-05 
  1890.0   286.5580947802289   281.7540876112097   288.99616861068824   3.56535293156227e-05   2.8206591709679132e-05   3.9432912454599336e-05 
  1891.0   286.5445431781377   281.53702653478075   289.0858997694624   3.559991025479193e-05   2.6869789534382276e-05   4.003051955996634e-05 
  1892.0   286.58901865560813   281.63851574313065   289.10144030151264   3.5643262501889885e-05   2.7310879245926982e-05   3.987201671623211e-05 
  1893.0   286.67312599918677   281.82520889195087   289.1334844906586   3.569286043106611e-05   2.7384465292118898e-05   3.9909440475328995e-05 
  1894.0   286.6324587706477   281.797580455744   289.08619996592324   3.5820706488919456e-05   2.822714631159965e-05   3.9674501809570676e-05 
  1895.0   286.4510590220962   281.47224313379604   288.97784974010796   3.554657128258316e-05   2.794622066635286e-05   3.9403812807792896e-05 
  1896.0   286.6311702942971   281.81300469413947   289.07642964701404   3.5585519026849656e-05   2.733372595806233e-05   3.977337304695161e-05 
  1897.0   286.50397969456895   281.60782270897784   288.98882032789953   3.570914405037245e-05   2.7736218076907796e-05   3.975547068648817e-05 
  1898.0   286.4600114252205   281.49138799627804   288.98162938483415   3.557478748437477e-05   2.7585903008739965e-05   3.962921319385685e-05 
  1899.0   286.5031870642516   281.5507220494725   289.0166044934898   3.562805902257601e-05   2.724261530835831e-05   3.988374186340688e-05 
  1900.0   286.5679311719713   281.7413859365916   289.01744325967087   3.554828371613384e-05   2.70558570943148e-05   3.9858261277632766e-05 
  1901.0   286.66055746590575   281.77582630699357   289.13959939660384   3.5692760659305424e-05   2.7041503549375205e-05   4.008334602235806e-05 
  1902.0   286.7239426521022   281.8862982691112   289.1790876500743   3.5819089572796206e-05   2.703517867180594e-05   4.027699784464474e-05 
  1903.0   286.58341937152227   281.5465470087939   289.13967423602935   3.5668773532053506e-05   2.7506399875071946e-05   3.981124645254665e-05 
  1904.0   286.6236217070438   281.6213797433047   289.16230135433244   3.565242981492633e-05   2.715326238632575e-05   3.9965828392263085e-05 
  1905.0   286.7339431598791   281.8782021794168   289.19827233247094   3.589388481171194e-05   2.7253516030076493e-05   4.0278944257059014e-05 
  1906.0   286.66129534833186   281.8367236802846   289.1098058340985   3.556434322077443e-05   2.6976317702669627e-05   3.992283802195571e-05 
  1907.0   286.52668267069765   281.5842927606515   289.0349868999917   3.561575049255976e-05   2.7946717632797604e-05   3.9507848830984125e-05 
  1908.0   286.3196457847307   281.2593852080117   288.88777036351286   3.5408939993187634e-05   2.750219079316676e-05   3.9421681363120155e-05 
  1909.0   286.4166526290025   281.4551187222526   288.9346725967898   3.547110541028114e-05   2.7082681357497647e-05   3.97283007978688e-05 
  1910.0   286.4901940485498   281.6638143377258   288.93962213115253   3.549238988034506e-05   2.7316481283025617e-05   3.964173189629824e-05 
  1911.0   286.3710960852162   281.4114939540755   288.8881356607199   3.539760982522187e-05   2.808211355572762e-05   3.911028538626142e-05 
  1912.0   286.4679089620633   281.43392015946057   289.02270039568145   3.542287798315948e-05   2.6666880367617103e-05   3.986662002910989e-05 
  1913.0   286.5431602872678   281.58216478890654   289.0609070082933   3.55747972754625e-05   2.691173447418998e-05   3.9971374125642346e-05 
